#
# npts = 250 depth=5
#
#
#------------------------
#
0 6	1.99945	1.0005	0.0117237	0.00826151	0.00582232	0.00409215	0.00287646	0.00202233	0.00144219	0	0	0
#
#------------------------
#
1 6	1.99835	1.00094	0.0202409	0.0141918	0.00992	0.0068856	0.00475488	0.00330422	0.00239654	0	7.55335e-17	6.98444e-17
#
#------------------------
#
2 6	1.99724	1.00042	0.0260576	0.0181735	0.0125736	0.00862336	0.00583935	0.00397222	0.00293188	0	0	0
#
#------------------------
#
3 6	1.99614	1.00086	0.0307224	0.0213102	0.0146162	0.00987209	0.0065336	0.0043216	0.00322542	0	3.56138e-17	-4.86238e-17
#
#------------------------
#
4 6	1.99504	1.0012	0.0347599	0.0239558	0.016276	0.0108059	0.00695882	0.00440447	0.00329257	0	0	-1.52081e-17
#
#------------------------
#
5 8	1.99394	1.00059	0.0385089	0.0266309	0.0180182	0.0115807	0.00720535	0.00426501	0.00183054	0.000599071	0.00010192	7.9361e-18
#
#------------------------
#
6 8	1.99283	1.00185	0.041649	0.0285793	0.0190902	0.0123224	0.00757651	0.0044685	0.00181251	0.0007968	0.00057702	-1.85829e-17
#
#------------------------
#
7 8	1.99173	1.00232	0.0449534	0.0311082	0.0207773	0.0130927	0.00724984	0.00334312	0.000231226	0.000163163	0.00023027	0
#
#------------------------
#
8 8	1.99063	1.00271	0.0476155	0.0326658	0.0221925	0.0147493	0.00860264	0.0041893	0.000570626	0.000402547	0.000547116	0
#
#------------------------
#
9 9	1.98953	1.00217	0.0502821	0.0344116	0.0231062	0.0153226	0.00971685	0.0042447	0.000638625	0.000484141	0.000180495	0.000254589
#
#------------------------
#
10 9	1.98842	1.00262	0.0527189	0.0358185	0.0236781	0.0152656	0.00967314	0.00457727	0.00124242	0.000581951	0.000114995	0.000161775
#
#------------------------
#
11 9	1.98732	1.00359	0.05515	0.0374217	0.0249057	0.0157502	0.00923826	0.00398586	0.00156833	0.000316987	0.000223432	0.000166398
#
#------------------------
#
12 9	1.98622	1.00406	0.0572938	0.0386134	0.0252809	0.015936	0.00960317	0.00416296	0.00162895	0.000352651	0.000203977	0.000273779
#
#------------------------
#
13 9	1.98512	1.00342	0.059412	0.039871	0.0258554	0.0159563	0.0089346	0.00359227	0.00153682	0.000880272	0.000235382	0.000202117
#
#------------------------
#
14 9	1.98401	1.00385	0.0613444	0.0408394	0.026049	0.0154422	0.00795409	0.00237484	0.00110125	0.000684187	0.000404203	0.000292175
#
#------------------------
#
15 9	1.98291	1.00429	0.0641777	0.0434263	0.0273172	0.015684	0.00748665	0.000745224	0.000524697	0.000369428	0.000260107	0.00033599
#
#------------------------
#
16 9	1.98181	1.00396	0.0661057	0.0449154	0.0295223	0.0167987	0.00797038	0.00105656	0.000743696	0.000523475	0.00046447	0.000247606
#
#------------------------
#
17 10	1.98071	1.00493	0.0678881	0.0459676	0.0307686	0.018188	0.0085082	0.00143163	0.00116155	0.000852721	0.000253718	0.000196623
#
#------------------------
#
18 10	1.9796	1.00536	0.0695841	0.0467921	0.0308068	0.0187769	0.00848887	0.00172656	0.00121462	0.000636451	0.000295324	0.0001893
#
#------------------------
#
19 10	1.9785	1.00578	0.0714218	0.0480127	0.0316452	0.0203463	0.00904217	0.00128532	0.000903958	0.000424977	0.000298885	0.000227448
#
#------------------------
#
20 10	1.9774	1.00515	0.0729993	0.0486583	0.031573	0.0205426	0.00947524	0.00168048	0.00112177	0.000599785	0.000344934	0.000158483
#
#------------------------
#
21 10	1.9763	1.00555	0.0745268	0.0494452	0.0317825	0.0202428	0.00981697	0.00244934	0.00146661	0.000256873	0.00016717	9.98353e-05
#
#------------------------
#
22 10	1.97519	1.00668	0.0759756	0.0500233	0.0315741	0.0192026	0.00869523	0.00259896	0.000985807	0.000440833	0.000252405	0.000118082
#
#------------------------
#
23 10	1.97409	1.00708	0.0780414	0.0519349	0.0326505	0.019147	0.00831235	0.00306189	0.000657722	0.000462058	0.000217949	4.85587e-06
#
#------------------------
#
24 10	1.97299	1.00671	0.0793412	0.0523913	0.0334439	0.01949	0.00860559	0.0032115	0.000854577	0.000522191	0.000287945	0.000137838
#
#------------------------
#
25 10	1.97189	1.00717	0.0808273	0.0529987	0.0335318	0.020235	0.00903393	0.00346932	0.000935409	0.000430895	0.000223585	0.000137837
#
#------------------------
#
26 10	1.97078	1.00758	0.0820392	0.0534581	0.0330998	0.0195594	0.00873111	0.00321679	0.000954361	0.000498229	0.000174142	3.92347e-05
#
#------------------------
#
27 10	1.96968	1.00687	0.0836306	0.0544413	0.0337673	0.0191005	0.00811684	0.00336424	0.00140826	0.000156751	0.000109997	7.12931e-05
#
#------------------------
#
28 10	1.96858	1.00783	0.0848094	0.0547176	0.0332901	0.0188432	0.00766347	0.0033465	0.0015868	0.000273024	0.000153019	0.000107347
#
#------------------------
#
29 10	1.96748	1.00829	0.0860175	0.0552274	0.0331713	0.0177975	0.00629289	0.0028713	0.00168365	0.000831201	0.000290883	0.000116774
#
#------------------------
#
30 10	1.96637	1.0091	0.0871674	0.055483	0.032557	0.0160783	0.00377106	0.00180726	0.00116542	0.000710369	0.000389367	0.000172429
#
#------------------------
#
31 10	1.96527	1.00839	0.0900734	0.0571236	0.0330396	0.0156047	0.00166398	0.00116635	0.000947912	0.000611251	0.000469958	0.000135918
#
#------------------------
#
32 11	1.96417	1.00886	0.0929229	0.0596258	0.0345962	0.0162368	0.00190422	0.00137176	0.00096326	0.000710233	8.11322e-05	5.68529e-05
#
#------------------------
#
33 11	1.96307	1.00977	0.0938934	0.0617485	0.0356178	0.0169868	0.00240886	0.00171612	0.00133174	0.00115124	0.000381386	8.24924e-05
#
#------------------------
#
34 11	1.96196	1.00914	0.0954206	0.0645112	0.0368096	0.0170865	0.00103198	0.00073392	0.000514001	0.000301482	0.000211143	0.000147874
#
#------------------------
#
35 11	1.96086	1.00963	0.0964075	0.0650877	0.0387841	0.0181276	0.0026277	0.00247518	0.00165579	0.000287248	0.000190807	0.000125816
#
#------------------------
#
36 11	1.95976	1.01027	0.0974714	0.0655903	0.0393973	0.0187101	0.00349381	0.00253969	0.00154623	0.000355344	9.87622e-05	6.91293e-05
#
#------------------------
#
37 11	1.95866	1.01071	0.0985316	0.0656437	0.0402007	0.0189974	0.00380417	0.00273725	0.00186935	0.000744434	0.000144205	8.47436e-05
#
#------------------------
#
38 11	1.95755	1.01057	0.099435	0.0655306	0.0404359	0.0180332	0.00364004	0.00268706	0.000355046	0.000264936	0.000175746	0.000152944
#
#------------------------
#
39 11	1.95645	1.01105	0.101212	0.0676537	0.0425176	0.0190909	0.00334458	0.0024145	0.000367951	0.000231137	0.000161649	0.000111624
#
#------------------------
#
40 11	1.95535	1.01147	0.102173	0.067769	0.0441035	0.0199176	0.0024901	0.00183345	0.000904072	0.000674554	7.4898e-05	5.23664e-05
#
