#
# zeta expansion terms d_n straight up. 
#
# computed to precision of 750 decimal places
# computed up to order of 5250 
# computed with 7841 bits of default mpf 
2	0.556829159258389348534689288296653666629538940786608282770538e1
3	0.907313460316764824423966346941789910724738608269961180052837e1
4	0.120980556204332789716655031311239274295489205745054866246661e2
5	0.146124508272030006051544778468305304331044281054227464433789e2
6	0.166873078904721038391902199343514420384155314198222720799798e2
7	0.184059022486365291103225034026494562307401566219553749873247e2
8	0.198402517957149596899061327480208111216963467828795018378554e2
9	0.210478207234850064574073183280761384734097165772092763952501e2
10	0.220734489535740848683042789240584972677926113367083403285645e2
11	0.229520198799635695521287611278705545491291984100638246402463e2
12	0.237107611896427007987943237107931359297818102060948715694854e2
13	0.243710395483326837121152349245297836767360094268265298239509e2
14	0.249497286296956256468300513522989190862534960793775355004611e2
15	0.254602489148858910629777169140254430255182789731576768064938e2
16	0.259133580166951377859647367239707752384299053854617638746601e2
17	0.263177507928795570474088199959042933608564505484989122011204e2
18	0.26680514448877106129645901078347554817386806812263020169433e2
19	0.270074736901448725277882239308909024166550169784475043537228e2
20	0.273034531622870512113503109756361874085115345632836180751108e2
21	0.27572478102647907905858471942028005852231221206388993891873e2
22	0.278179290046280992278505784623287249511628588555760740237127e2
23	0.280426620257022013257126845682947386085995644082778621540176e2
24	0.282491037323301947127275453663453623814962421979237487227502e2
25	0.284393264290214449259381640912613079093185464149899488499351e2
26	0.286151086107064147998828662050766363959186292095322858837271e2
27	0.287779838584036393671146721265973284358193440559201616812027e2
28	0.289292806381559420682416637890978948320127951489100010072346e2
29	0.290701548579681256889628785549252403227098344548144380543773e2
30	0.292016166082112272416329361915015266947476788672382066807439e2
31	0.293245522011573525353336153274787643494929716331276994561686e2
32	0.294397423961232289221136282279908259620149409031311793361478e2
33	0.295478775223180824501977064774211562965230117462016029541465e2
34	0.29649570075198445567237744069989227714044675325517364210767e2
35	0.297453652532624952758731762592604799306469075157546763153093e2
36	0.298357498139522743537875644729565068364486005097056854994178e2
37	0.299211595552136819505240605781786649370799878249942190728902e2
38	0.300019856702293481475843872290173081920534069813427758896381e2
39	0.300785801746396111078864806523932899766082602277532959276033e2
40	0.3015126056642973577307557629826980087087962520815348055828e2
41	0.302203138471102982869789954026512939803976335913629279420075e2
42	0.302860000075794263071877412282429564307131825207752055347891e2
43	0.30348555062019424000735328910600483020567863453804814527978e2
44	0.304081936973787719534873625630653962611904569571664713840935e2
45	0.304651115935902918701169578963294870741567794348130551926723e2
46	0.3051948745997090399716597976659509277674960724411295015381e2
47	0.305714848256495957835499211353744850311672256029691708066936e2
48	0.306212536158973477788436514849253399399317216499231693384548e2
49	0.306689315415007117887393499726408434112781492758929340755616e2
50	0.307146453245268662543376520816496772689031969113952540202453e2
51	0.307585117807390508979905908535079513624966642473613315631387e2
52	0.308006387763610440573666007447643819903459813336315692868814e2
53	0.308411260747271704903718121670390081882487095696556874616631e2
54	0.308800660864952876431995717959607682288495030337266372787178e2
55	0.309175445354766053989020799366238997600552918605616354267099e2
56	0.309536410507006163019506003095706521809327987637856349664691e2
57	0.309884296940530690900127617817563967496045710808174772288734e2
58	0.31021979431677295237108097549248981374430532760903362949257e2
59	0.310543545562987192785383090824806870834689340735198719918225e2
60	0.310856150667079484987826684183306929773827957314612051790543e2
61	0.311158170098110667785504739907584935627142489426305461132796e2
62	0.311450127899197900451563840078675432322866610519208204374895e2
63	0.311732514493028527180525190121056144943154092109251001616817e2
64	0.312005789234475282432359424561388155193532940196879679192363e2
65	0.312270382739807030397481784569683008551502631593482043849969e2
66	0.312526699017665042187538878639112707649624575000880003251473e2
67	0.312775117423261315708434120267594494624271407234059418831514e2
68	0.313015994454092473419416436355292627395621549992772419746008e2
69	0.31324966540279081987034280490444397283634345018149022136938e2
70	0.313476445880495275386097846646169031231685338277778197691549e2
71	0.313696633222263663089049755709351762339006331067564648764647e2
72	0.313910507784511974288983333415713100500280850950885892631785e2
73	0.314118334143207341988535219296390414433339825272772089025547e2
74	0.314320362200515299813958780027963560555202839387607564397733e2
75	0.314516828206768728603023300075247799959180367386161738402465e2
76	0.314707955703950453177178133517659703987545288218830170212472e2
77	0.314893956396332969540844282545103712296760148461621612529528e2
78	0.315075030953470775733772799947288641343095623643117557267819e2
79	0.315251369750370810106279933397843901803231444072349091138801e2
80	0.315423153549355865197382243038806016276369822763950811808388e2
81	0.315590554127869225925268960346732500841779629944721116088254e2
82	0.315753734856233878326033339112712806894778180779888502605112e2
83	0.315912851229166797671234856545046499341814986130426526526372e2
84	0.316068051354650684189648586001278927713103490011420590704236e2
85	0.31621947640357663967752396345819258390434947641012671618979e2
86	0.316367261023387851994784893308706995920070003325325553827845e2
87	0.316511533718773878737602597880897336865745209053133834919513e2
88	0.316652417202286152172577271724443968562609443880255901888114e2
89	0.31679002871756724097145148637932325748826497901764741607264e2
90	0.316924480337709193954038437040795955547213136339495720570558e2
91	0.317055879241080394828909215701647577900431921587906724954624e2
92	0.317184327966786511989374377705268065262375203658196260344998e2
93	0.317309924651760250928921944548932809914405214056364809812265e2
94	0.317432763251307709917358223643642047340253426031062145757829e2
95	0.317552933744777212039635831561258713039685669472057398865432e2
96	0.317670522327860499841179411165982112691783486095706868283656e2
97	0.317785611592887003804274234383715019670843647147276954694343e2
98	0.317898280698330285273328521313921044259316889267899389804073e2
99	0.318008605528612324755933292070875014458636006086420778984402e2
100	0.318116658845166549636057134055340951499801587502566156663105e2
101	0.318222510429604697089028742947855737864893030862424389677353e2
102	0.318326227219725972296970101571143535346432068628755955978226e2
