#
# liouville zeta expansion terms d_n
#
# computed to precision of 2000 decimal places
# computed up to order of 6000 
# computed with 12743 bits of default mpf 
2	0.657973626739290574588966066658410075687579960482719375094223e0	0
3	0.112758568650917682077200246323925044382593694317589441494032e1	0
4	0.149020661449622514256793090718468523784234025430902733006708e1	0
5	0.178956597869062721479551760587180128308762983929465607171683e1	0
6	0.204960046747463996859778685109040237528474388805675955201391e1	0
7	0.22837157640609864959561108484652686495956898853725409835216e1	0
8	0.249963613227784476291325606758583315532218471582501470459126e1	0
9	0.270197051715102353443526371152763339682572686833311421049197e1	0
10	0.289358686639834839284745947938836666370846398809808027715714e1	0
12	0.325157428223829396526077288431646990861841349378104381649518e1	0
14	0.358286453425708463850763491641530854042791284209944566932441e1	1
16	0.389272088345544818950265703224090046714497414444101120692388e1	0
18	0.418467305480421141525292686262652252090196098163327084116615e1	0
20	0.44613440354500701047938325647869375627471097314850138472346e1	0
23	0.485209048366602280789514148180228566919850169188851534374216e1	0
26	0.521837199662260709748771871938045043960804738963873274913654e1	1
29	0.556420821136169135414463633363016359772441501924017943767348e1	0
32	0.589266872406917920518129143067725483442093494430643069627772e1	0
36	0.630763966371537514157596235820594643319620015409303251168235e1	1
40	0.670025445052046928896368690620933252409779816490691937095781e1	0
45	0.716450676199780807444476002254167541027768238655654037458432e1	0
50	0.760374656222155649812939398656144459973344724893805212102604e1	1
56	0.810290592998911125737967481796794506349054119387795897283806e1	0
62	0.857608566753683704040229789544204119209385001436746695674292e1	1
69	0.910015202720354170083934455235363683777055577810271083009355e1	0
76	0.959833684173562435830182275425735725979375326029609247660499e1	1
84	0.101404452749362612425121409402069326317972071180261610539986e2	1
93	0.107203840467200403403474639281915061057377094510153565076989e2	1
103	0.113328175992718365524677210686998819294047714008347902643996e2	1
114	0.119731447872489845926667872224307475561968191596968901434301e2	0
126	0.126374370674570314549895623551470312669216201208503429079233e2	2
139	0.133223602118428137274942018877839053220206483041077780885195e2	2
153	0.140250930764573093219549262183999179551786255630156768076361e2	1
169	0.147899667748622196534004183242139542989209661089222019053307e2	1
186	0.15563990655387388651167076054769002687604791414657242587002e2	2
205	0.163883504432444306403009127054374574653241260893086649542266e2	2
226	0.172562286706730614864070305947891338218067403015244022515828e2	1
249	0.181617130953193985476551711957387795063316010856188703717043e2	2
274	0.190997219159228495624835321089051893253907936561382947520871e2	2
302	0.20100846077122120966670875301207238656618426896750143136267e2	5
333	0.211565318005431873896194742507571811905275090854375020377881e2	3
367	0.222593510251767584599996001137416848670075585558953040544046e2	3
404	0.234029143922842577589463544353745748463942131408160578254363e2	4
445	0.246105342863953828077180671451931084672261433298181352311394e2	3
490	0.258735765593329092011851765621797874695622034898178538668814e2	4
540	0.272107122690916872015802498463481325600183536026513519010458e2	5
595	0.286119059740341121685336119059852800632658690406551260843655e2	6
655	0.300684917960820428882600364491102514003086936372248768613394e2	5
721	0.315956440500634744464629397651263073520875636989120150338987e2	5
794	0.332054464250858542788839389992861728195565134376484666089171e2	6
874	0.348867781424481566070076966357407704737463884877209515188644e2	6
962	0.366496209151906330910013418030360883083427572391415582520452e2	8
1059	0.38501708779947857705801519193101204699184065698199334096135e2	8
1165	0.404310749304390555888639558059502647637647408480171704509196e2	7
1282	0.424613285957149299341829713360284360824499666737690292743176e2	11
1411	0.445951471194313586372202894661527894197513114491154392827016e2	14
1553	0.468340688729663438400719341494940574546455991331976678415588e2	21
1709	0.49178703630163428524524298034995914421844135773426668467049e2	16
1880	0.516289179477266172186764463371848320810306491667692339377072e2	17
2069	0.542106835346502837598921185841700725153344808585185876862888e2	17
2276	0.569064073652612441601321688568318524243449265837059798456695e2	22
2504	0.597373001183465827630221744868244578675966209738706443402281e2	22
2755	0.627084658245236247920827281596347404092903443360323037410769e2	28
3031	0.65823238467799634794272999843900848665780241793141465854227e2	30
3335	0.69093998910654230463447393829392887866832325019930325903996e2	33
3669	0.725199651469066029958527303987856064976309313014135990868004e2	35
4036	0.76109106352604731328021280807398700733868556856404135405861e2	44
4440	0.79876128243590894784934403550706360139465031578460041911402e2	62
4885	0.838320647222131914258220286206728487231671235599132809620752e2	68
5000	0.848247406951004361231320384283034289546461479833605546990886e2	471
5374	0.879765522535810616587807540294479366306205187185723181889161e2	74
5501	0.890217251806231179983648635373568120529955281199246525782368e2	130
5912	0.923239335386210754308143876568300783894885125056686111648903e2	91
6052	0.934224076695644328610180532612112206902616279756906240711266e2	143
6658	0.980368205641060349673647622689156226153496107153105604574974e2	163
7324	0.102871934606609314098906328219941624433224247941320636913246e3	203
8057	0.10794569158476101971519823163515765228051835949561525545664e3	240
8863	0.113264977984482668694987216158969814747381861688331628649937e3	288
9750	0.118846268428567812921500479267930325501300133917123798564874e3	352
10726	0.124701539888988414024145862692167344027601879538177667254448e3	428
11799	0.130838982301857493566264173127369125833144475610904616799804e3	515
12979	0.137274290700206458024418680144103266424740515732598991289711e3	638
14277	0.14402368049215873895273953648863686532974987574819346284599e3	777
15000	0.147650333941278739635970860438380521574079003347751795381531e3	4186
15705	0.151103450951538777288805670435107151982436582780709461865847e3	993
16501	0.154910391650865474205844451627621746103254053105399321800409e3	1397
18152	0.162524139523936316713148509359986059955182673428978334481961e3	2275
19968	0.17050889274782774530197271289004901191801191147461722334051e3	2849
21965	0.178880760850543397228657358622206223320273402668424960367755e3	3392
24162	0.187662388023330629019964797905568588793975460828526356915789e3	4181
