#
# zeta expansion terms n^2 * (2-d_n)   
#
# computed to precision of 3000 decimal places
# computed up to order of 6000 
# computed with 16065 bits of default mpf 
3	-0.152048086402245097304085094887199104570090434961379324675261e0	0
4	-0.272694035947167211610724664832813576811708532171396133518387e0	0
5	-0.366998956976592071730054566086352942525379515289218057705479e0	0
6	-0.443129990185098052950114885236631333894193498876627236361713e0	0
7	-0.506464027396117631664006498780760258487974386483640628256766e0	0
8	-0.560438579875955999973133067383885311158438834512871549938769e0	0
9	-0.607325203593479546402204324326991433790440542121284787523274e0	0
10	-0.648684488318862237718249927525459270929723966319335326583978e0	0
12	-0.718968015185269096721413450896703646531295748947497686377993e0	0
14	-0.77715834890736543585345715441728476176630587305692314503362e0	1
16	-0.82669620075819987694266517073816177859472251897009345287428e0	0
18	-0.869757804441433054685931404451331347297112090123609313746542e0	0
20	-0.907801203242328221041049266503853124542716008133921604935559e0	0
23	-0.957613165981949361417441447673935512666473993597695098514656e0	0
26	-0.100073576385578404168706184225234308013888421211645239256533e1	0
29	-0.103872391520080481030084255624640353878597953152338479622944e1	0
32	-0.107265163160619061005236442095640208731657195430731579325483e1	1
36	-0.11128762623497666404620883237073419418031038201546539045364e1	0
40	-0.114853987280720608751318765124686605889496619272726933238192e1	0
45	-0.118807805666499815120964007079735928247842441433907475184057e1	1
50	-0.122317176668751392904799106796372079453224080404354348282157e1	0
56	-0.126065183075364082373730834702529513336944462626383461127102e1	0
62	-0.129409402298776067164068158957195774399079579581917256856161e1	1
69	-0.132903404343236718619733359981944278896294066901210776239304e1	0
76	-0.136042542075201179480871832749638759629587039161279526495925e1	1
84	-0.139278218902094720972584526136469083366417186153653094118892e1	0
93	-0.142553556252233632551781526171734325908862622465291663087536e1	1
103	-0.145825702333866830620683727957589148464321783939033283515017e1	0
114	-0.149063519768823765525199315412165363654212394141598294532452e1	1
126	-0.152245196785374637514698125984532275066079667604992658110608e1	1
139	-0.15535609676802559430064866676571010951539910217065139594367e1	1
153	-0.158386964542840924607726184177373017839174671726777197117867e1	1
169	-0.161519145803512723400149387930579992260429943256886798342449e1	1
186	-0.164529408000862234927881109211257943198338346017606172348504e1	1
205	-0.167576555593304557854796097711799469636898143321508593271091e1	1
226	-0.170624817528626361929308514235040346013816304617451922793197e1	2
249	-0.173647600481340389128300234251850039158148451785695178811159e1	1
274	-0.176625742402524675371332524374363264034164141368918735078765e1	2
302	-0.179648881856968279014784698669890540209367554466146832978646e1	2
333	-0.182679762486100632049247514565303461262998246199292199577551e1	2
367	-0.185690476578835875044289146146415878385873514901137926685766e1	2
404	-0.188660748001104805450534208163403854269862787392776803466195e1	2
445	-0.191645763482894502578590368204915550381880771301254529001497e1	3
490	-0.194616947000189032065433846747647109344775194425697507853233e1	3
540	-0.197610364153563852045609449874250444347948545377073794223823e1	4
595	-0.20059531172804088404639626007782782086744513166077836642943e1	4
655	-0.203549098913080185522402751041739178970095670602378413950715e1	4
721	-0.206498080561093192480788384133449019175988175362641734263095e1	5
794	-0.20945812510316092597933197417049344570645824819078225672699e1	5
874	-0.212402174469072816040259621053338235203319603736916824319724e1	5
962	-0.215342216563037812451354481948636577222625776151228399993705e1	6
1059	-0.218284377383945949040495126876488365202095727294218160900092e1	7
1165	-0.221204268511166150793211748738412233947868302448208821027217e1	8
1282	-0.22413185352808763881525938089160292885381901693460392943633e1	8
1411	-0.227063356153747902958295996327098783964534370984475721381878e1	10
1553	-0.229993860705714100467093728068333578728299333615373600932447e1	10
1709	-0.232917899793657799747852391501337204311898215891827155822081e1	12
1880	-0.235829886965957626812530751181377852620213048160689591113061e1	13
2069	-0.238753936712492877910246543220390884386425519570765300395643e1	18
2276	-0.241663585092353238933020250950328388976637189788500042460719e1	16
2504	-0.244575860474502939674644506221848239255146573311046796828626e1	23
2755	-0.247489070327542978283506628876264071413225287911198013919087e1	24
3031	-0.250399899513578013933483369808631905875079829645807109552543e1	26
3335	-0.253313218585405820159608088167044371694655510191023442155081e1	27
3669	-0.256221813566788261065412211704518449425719229128670082669437e1	36
4036	-0.259126412584140326169639039347543061788173210186166749567987e1	41
