#
# graph of periodic zeta as function of precision 
#
# clock ticks=100
#
10	132	7	9	140	7	
14	146	11	13	160	11	
19	162	17	18	220	17	
26	185	23	27	310	23	
36	218	32	38	380	32	
50	264	44	53	610	44	
70	330	63	78	980	63	
98	423	87	120	1900	87	
138	555	123	192	3770	123	
194	740	172	350	7770	172	
273	1000	243	648	16110	243	
384	1367	341	1602	41480	341	
541	1885	481	4025	88310	481	
762	2614	677	11419	203060	677	
1074	3644	952	33835	493660	952	
1514	5096	1327	106217	1170120	1327	
