# 
# characterisitic equation 
# Dimension=3
1.2	0.399881	-0.395256	0.438175	-0.503147	0.591737	-0.704955	0.843146	-1.0098	1.21065	-1.45229
1.18	0.368323	-0.350927	0.378896	-0.425895	0.491522	-0.575295	0.676333	-0.796363	0.938769	-1.10733
1.16	0.337564	-0.308808	0.323954	-0.355979	0.402844	-0.462999	0.534825	-0.618925	0.717159	-0.831554
1.14	0.307606	-0.268848	0.273161	-0.292927	0.324726	-0.366263	0.415524	-0.472435	0.537909	-0.612922
1.12	0.278447	-0.231001	0.226333	-0.236286	0.256251	-0.283427	0.315641	-0.35244	0.394174	-0.441229
1.1	0.250089	-0.195219	0.183291	-0.18562	0.19656	-0.212968	0.232667	-0.255017	0.280054	-0.307853
1.08	0.22253	-0.161453	0.143856	-0.140515	0.144848	-0.153491	0.164354	-0.176726	0.19048	-0.205547
1.06	0.195772	-0.129656	0.107858	-0.100572	0.100361	-0.10372	0.108692	-0.11456	0.121117	-0.128242
1.04	0.169814	-0.099779	0.0751266	-0.0654113	0.0623985	-0.0624926	0.0638898	-0.0658984	0.0682753	-0.0708903
1.02	0.144655	-0.0717748	0.0454976	-0.0346707	0.0303049	-0.0287507	0.028358	-0.0284699	0.028829	-0.0293108
1	0.120297	-0.045595	0.01881	-0.00800443	0.00347227	-0.00153491	0.000688575	-0.000312211	0.000142794	-6.5798e-05
0.98	0.0967382	-0.0211918	-0.00509365	0.0149164	-0.018664	0.0200228	-0.0203596	0.0202613	-0.0199913	0.0196536
0.96	0.0739798	0.00148287	-0.0263666	0.0344044	-0.0366266	0.036705	-0.0358764	0.0346926	-0.0334118	0.0321251
0.94	0.0520213	0.022477	-0.0451583	0.0507564	-0.0508983	0.049215	-0.0468145	0.0442082	-0.0416392	0.0391803
0.92	0.0308629	0.0418387	-0.0616145	0.0642538	-0.0619241	0.0581828	-0.0540029	0.0498442	-0.045921	0.0422784
0.9	0.0105045	0.0596158	-0.0758771	0.0751628	-0.0701128	0.0641701	-0.0581591	0.0524703	-0.047272	0.042569
0.88	-0.00905398	0.0758564	-0.088084	0.0837349	-0.0758393	0.0676762	-0.0599002	0.0528107	-0.0465097	0.0409472
0.86	-0.0278124	0.0906084	-0.0983694	0.0902074	-0.0794458	0.0691424	-0.0597541	0.0514635	-0.0442848	0.0380991
0.84	-0.0457709	0.10392	-0.106864	0.0948036	-0.0812441	0.0689568	-0.0581686	0.0489173	-0.0411089	0.0345421
0.82	-0.0629293	0.115839	-0.113693	0.097733	-0.081517	0.0674593	-0.0555206	0.045567	-0.0373771	0.0306571
0.8	-0.0792877	0.126413	-0.11898	0.0991924	-0.0805201	0.0649449	-0.0521245	0.0417272	-0.0333893	0.0267171
0.78	-0.0948462	0.135691	-0.122845	0.0993654	-0.0784834	0.0616685	-0.0482395	0.0376446	-0.0293668	0.02291
0.76	-0.109605	0.143721	-0.125401	0.0984234	-0.0756127	0.0578484	-0.0440766	0.0335083	-0.0254678	0.0193582
0.74	-0.123563	0.15055	-0.126759	0.0965258	-0.0720914	0.0536695	-0.0398049	0.02946	-0.0218	0.0161337
0.72	-0.136721	0.156226	-0.127028	0.0938202	-0.0680817	0.0492871	-0.0355573	0.0256013	-0.0184313	0.0132715
0.7	-0.14908	0.160798	-0.12631	0.0904431	-0.0637264	0.0448297	-0.0314355	0.0220018	-0.0153989	0.0107797
0.68	-0.160638	0.164313	-0.124706	0.0865201	-0.0591497	0.0404021	-0.027515	0.0187051	-0.0127166	0.00864746
0.66	-0.171397	0.16682	-0.12231	0.0821663	-0.0544592	0.036088	-0.0238488	0.0157338	-0.0103813	0.00685158
0.64	-0.181355	0.168367	-0.119215	0.0774867	-0.0497468	0.0319525	-0.0204715	0.0130946	-0.00837756	0.00536144
0.62	-0.190514	0.169	-0.115509	0.0725765	-0.04509	0.0280445	-0.0174024	0.0107821	-0.00668205	0.00414259
0.6	-0.198872	0.16877	-0.111276	0.0675217	-0.0405531	0.0243987	-0.0146484	0.00878181	-0.00526645	0.00315956
0.58	-0.206431	0.167722	-0.106597	0.0623994	-0.0361885	0.0210379	-0.0122069	0.0070731	-0.00410003	0.00237771
0.56	-0.213189	0.165907	-0.101547	0.057278	-0.0320376	0.0179746	-0.0100674	0.00563137	-0.00315149	0.00176454
0.54	-0.219147	0.16337	-0.096201	0.0522177	-0.0281319	0.0152127	-0.00821407	0.00442982	-0.00239032	0.00129051
0.52	-0.224306	0.160161	-0.0906262	0.047271	-0.0244944	0.0127488	-0.00662693	0.00344088	-0.00178775	0.000929402
0.5	-0.228664	0.156328	-0.0848881	0.042483	-0.0211398	0.010574	-0.0052835	0.00263729	-0.0013174	0.000658506
0.48	-0.232223	0.151918	-0.0790479	0.0378916	-0.0180761	0.00867491	-0.00415985	0.00199292	-0.000955582	0.000458522
0.46	-0.234981	0.14698	-0.0731631	0.0335284	-0.0153054	0.00703468	-0.00323158	0.00148333	-0.000681515	0.000313372
0.44	-0.23694	0.141561	-0.067287	0.0294184	-0.0128243	0.00563403	-0.00247461	0.00108618	-0.00047728	0.000209905
0.42	-0.238098	0.135709	-0.0614694	0.0255808	-0.0106252	0.00445211	-0.00186573	0.000781455	-0.000327716	0.000137566
0.4	-0.238456	0.129473	-0.0557561	0.0220295	-0.00869655	0.00346724	-0.00138307	0.000551511	-0.000220229	8.80365e-05
0.38	-0.238015	0.122901	-0.0501892	0.018773	-0.00702405	0.00265754	-0.00100645	0.000381104	-0.000144541	5.48856e-05
