0	0 5.31561	1.6	2.72	3.504	4.0528
1	0.000554631 5.29535	1.6	2.72	3.504	4.0528
2	0.00110926 5.28667	1.6	2.72	3.504	4.0528
3	0.00166389 5.27427	1.6	2.72	3.504	4.0528
4	0.00221852 5.22508	1.6	2.72	3.504	4.0528
5	0.00277316 5.22762	1.6	2.72	3.504	4.0528
6	0.00332779 5.19496	1.6	2.72	3.504	4.0528
7	0.00388242 5.21099	1.6	2.72	3.504	4.0528
8	0.00443705 5.1899	1.6	2.72	3.504	4.0528
9	0.00499168 5.17219	1.6	2.72	3.504	4.0528
10	0.00554631 5.11059	1.6	2.72	3.504	4.0528
11	0.00610094 5.17483	1.6	2.72	3.504	4.0528
12	0.00665557 5.15375	1.6	2.72	3.504	4.0528
13	0.00721021 5.13603	1.6	2.72	3.504	4.0528
14	0.00776484 5.06575	1.6	2.72	3.504	4.0528
15	0.00831947 5.06938	1.6	2.72	3.504	4.0528
16	0.0088741 5.00247	1.6	2.72	3.504	4.0528
17	0.00942873 5.12318	1.6	2.72	3.504	4.0528
18	0.00998336 5.10209	1.6	2.72	3.504	4.0528
19	0.010538 5.08438	1.6	2.72	3.504	4.0528
20	0.0110926 5.02278	1.6	2.72	3.504	4.0528
21	0.0116473 5.03013	1.6	2.72	3.504	4.0528
22	0.0122019 4.97976	1.6	2.72	3.504	4.0528
23	0.0127565 5.00265	1.6	2.72	3.504	4.0528
24	0.0133111 4.96385	1.6	2.72	3.504	4.0528
25	0.0138658 4.93854	1.6	2.72	3.504	4.0528
26	0.0144204 4.8303	1.6	2.72	3.504	4.0528
27	0.014975 5.04939	1.6	2.72	3.504	4.0528
28	0.0155297 5.0283	1.6	2.72	3.504	4.0528
29	0.0160843 4.99033	1.6	2.72	3.504	4.0528
30	0.0166389 4.94031	1.6	2.72	3.504	4.0528
31	0.0171936 4.94394	1.6	2.72	3.504	4.0528
32	0.0177482 4.87703	1.6	2.72	3.504	4.0528
33	0.0183028 4.92018	1.6	2.72	3.504	4.0528
34	0.0188575 4.89007	1.6	2.72	3.504	4.0528
35	0.0194121 4.8445	1.6	2.72	3.504	4.0528
36	0.0199667 4.7441	1.6	2.72	3.504	4.0528
37	0.0205214 4.85613	1.6	2.72	3.504	4.0528
38	0.021076 4.78922	1.6	2.72	3.504	4.0528
39	0.0216306 4.77176	1.6	2.72	3.504	4.0528
40	0.0221852 4.75669	1.6	2.72	3.504	4.0528
41	0.0227399 4.67655	1.6	2.72	3.504	4.0528
42	0.0232945 4.96423	1.6	2.72	3.504	4.0528
43	0.0238491 4.93529	1.6	2.72	3.504	4.0528
44	0.0244038 4.90264	1.6	2.72	3.504	4.0528
45	0.0249584 4.87624	1.6	2.72	3.504	4.0528
46	0.025513 4.87986	1.6	2.72	3.504	4.0528
47	0.0260677 4.81827	1.6	2.72	3.504	4.0528
48	0.0266223 4.75921	1.6	2.72	3.504	4.0528
49	0.0271769 4.79451	1.6	2.72	3.504	4.0528
50	0.0277316 4.75571	1.6	2.72	3.504	4.0528
51	0.0282862 4.718	1.6	2.72	3.504	4.0528
52	0.0288408 4.79206	1.6	2.72	3.504	4.0528
53	0.0293955 4.73046	1.6	2.72	3.504	4.0528
54	0.0299501 4.6714	1.6	2.72	3.504	4.0528
55	0.0305047 4.64863	1.6	2.72	3.504	4.0528
56	0.0310593 4.62234	1.6	2.72	3.504	4.0528
57	0.031614 4.58717	1.6	2.72	3.504	4.0528
58	0.0321686 4.71827	1.6	2.72	3.504	4.0528
59	0.0327232 4.64799	1.6	2.72	3.504	4.0528
60	0.0332779 4.56868	1.6	2.72	3.504	4.0528
61	0.0338325 4.57484	1.6	2.72	3.504	4.0528
62	0.0343871 4.5564	1.6	2.72	3.504	4.0528
63	0.0349418 4.48444	1.6	2.72	3.504	4.0528
64	0.0354964 4.51715	1.6	2.72	3.504	4.0528
65	0.036051 4.3965	1.6	2.72	3.504	4.0528
66	0.0366057 4.40531	1.6	2.72	3.504	4.0528
67	0.0371603 4.28215	1.6	2.72	3.504	4.0528
68	0.0377149 4.79338	1.6	2.72	3.504	4.0528
69	0.0382696 4.7723	1.6	2.72	3.504	4.0528
70	0.0388242 4.73433	1.6	2.72	3.504	4.0528
71	0.0393788 4.66405	1.6	2.72	3.504	4.0528
72	0.0399334 4.68793	1.6	2.72	3.504	4.0528
73	0.0404881 4.62888	1.6	2.72	3.504	4.0528
74	0.0410427 4.66418	1.6	2.72	3.504	4.0528
75	0.0415973 4.6138	1.6	2.72	3.504	4.0528
76	0.042152 4.57981	1.6	2.72	3.504	4.0528
77	0.0427066 4.45916	1.6	2.72	3.504	4.0528
78	0.0432612 4.60013	1.6	2.72	3.504	4.0528
79	0.0438159 4.54107	1.6	2.72	3.504	4.0528
80	0.0443705 4.4955	1.6	2.72	3.504	4.0528
81	0.0449251 4.50069	1.6	2.72	3.504	4.0528
82	0.0454798 4.40029	1.6	2.72	3.504	4.0528
83	0.0460344 4.56768	1.6	2.72	3.504	4.0528
84	0.046589 4.52634	1.6	2.72	3.504	4.0528
85	0.0471436 4.46728	1.6	2.72	3.504	4.0528
86	0.0476983 4.41303	1.6	2.72	3.504	4.0528
87	0.0482529 4.41821	1.6	2.72	3.504	4.0528
88	0.0488075 4.36279	1.6	2.72	3.504	4.0528
89	0.0493622 4.3955	1.6	2.72	3.504	4.0528
90	0.0499168 4.28725	1.6	2.72	3.504	4.0528
91	0.0504714 4.1818	1.6	2.72	3.504	4.0528
92	0.0510261 4.16167	1.6	2.72	3.504	4.0528
93	0.0515807 4.43332	1.6	2.72	3.504	4.0528
94	0.0521353 4.40321	1.6	2.72	3.504	4.0528
95	0.05269 4.34896	1.6	2.72	3.504	4.0528
96	0.0532446 4.24856	1.6	2.72	3.504	4.0528
97	0.0537992 4.28268	1.6	2.72	3.504	4.0528
98	0.0543539 4.19832	1.6	2.72	3.504	4.0528
99	0.0549085 4.22849	1.6	2.72	3.504	4.0528
100	0.0554631 4.16438	1.6	2.72	3.504	4.0528
101	0.0560177 4.11051	1.6	2.72	3.504	4.0528
102	0.0565724 4.2163	1.6	2.72	3.504	4.0528
103	0.057127 4.1159	1.6	2.72	3.504	4.0528
104	0.0576816 3.98234	1.6	2.72	3.504	4.0528
105	0.0582363 3.98247	1.6	2.72	3.504	4.0528
106	0.0587909 3.95613	1.6	2.72	3.504	4.0528
107	0.0593455 3.86454	1.6	2.72	3.504	4.0528
108	0.0599002 4.59851	1.6	2.72	3.504	4.0528
109	0.0604548 4.55717	1.6	2.72	3.504	4.0528
110	0.0610094 4.53945	1.6	2.72	3.504	4.0528
111	0.0615641 4.47786	1.6	2.72	3.504	4.0528
112	0.0621187 4.48521	1.6	2.72	3.504	4.0528
113	0.0626733 4.43483	1.6	2.72	3.504	4.0528
114	0.063228 4.45773	1.6	2.72	3.504	4.0528
115	0.0637826 4.38745	1.6	2.72	3.504	4.0528
116	0.0643372 4.39362	1.6	2.72	3.504	4.0528
117	0.0648918 4.30563	1.6	2.72	3.504	4.0528
118	0.0654465 4.3974	1.6	2.72	3.504	4.0528
119	0.0660011 4.34702	1.6	2.72	3.504	4.0528
120	0.0665557 4.31303	1.6	2.72	3.504	4.0528
121	0.0671104 4.30581	1.6	2.72	3.504	4.0528
122	0.067665 4.2265	1.6	2.72	3.504	4.0528
123	0.0682196 4.14213	1.6	2.72	3.504	4.0528
124	0.0687743 4.30335	1.6	2.72	3.504	4.0528
125	0.0693289 4.26455	1.6	2.72	3.504	4.0528
126	0.0698835 4.21899	1.6	2.72	3.504	4.0528
127	0.0704382 4.23202	1.6	2.72	3.504	4.0528
128	0.0709928 4.14403	1.6	2.72	3.504	4.0528
129	0.0715474 4.04726	1.6	2.72	3.504	4.0528
130	0.0721021 4.12131	1.6	2.72	3.504	4.0528
131	0.0726567 4.00547	1.6	2.72	3.504	4.0528
132	0.0732113 3.97185	1.6	2.72	3.504	4.0528
133	0.0737659 4.24713	1.6	2.72	3.504	4.0528
