0	0 5.31561	5.31561	1.04894
1	0.000554631 5.29535	5.31561	1.04894
2	0.00110926 5.28667	5.29535	1.02869
3	0.00166389 5.27427	5.28667	1.02
4	0.00221852 5.22508	5.26642	0.999749
5	0.00277316 5.22762	5.25401	0.987347
6	0.00332779 5.19496	5.24533	0.978666
7	0.00388242 5.21099	5.25655	0.989886
8	0.00443705 5.1899	5.22762	0.960949
9	0.00499168 5.17219	5.21521	0.948547
10	0.00554631 5.11059	5.18628	0.919609
11	0.00610094 5.17483	5.23124	0.964576
12	0.00665557 5.15375	5.20231	0.935639
13	0.00721021 5.13603	5.1899	0.923237
14	0.00776484 5.06575	5.14071	0.874043
15	0.00831947 5.06938	5.14325	0.876583
16	0.0088741 5.00247	5.11059	0.843925
17	0.00942873 5.12318	5.19509	0.92842
18	0.00998336 5.10209	5.16615	0.899482
19	0.010538 5.08438	5.15375	0.88708
20	0.0110926 5.02278	5.12481	0.858143
21	0.0116473 5.03013	5.11577	0.849107
22	0.0122019 4.97976	5.09469	0.828024
23	0.0127565 5.00265	5.11072	0.844054
24	0.0133111 4.96385	5.06938	0.802714
25	0.0138658 4.93854	5.05166	0.784998
26	0.0144204 4.8303	4.99007	0.723402
27	0.014975 5.04939	5.14343	0.876767
28	0.0155297 5.0283	5.1145	0.84783
29	0.0160843 4.99033	5.10209	0.835428
30	0.0166389 4.94031	5.0529	0.786234
31	0.0171936 4.94394	5.05544	0.788773
32	0.0177482 4.87703	5.02278	0.756115
33	0.0183028 4.92018	5.03881	0.772145
34	0.0188575 4.89007	5.01773	0.751062
35	0.0194121 4.8445	5.00001	0.733345
36	0.0199667 4.7441	4.92973	0.663068
37	0.0205214 4.85613	4.99397	0.727307
38	0.021076 4.78922	4.96132	0.694649
39	0.0216306 4.77176	4.93492	0.668251
40	0.0221852 4.75669	4.93854	0.671878
41	0.0227399 4.67655	4.86827	0.601602
42	0.0232945 4.96423	5.06964	0.802978
43	0.0238491 4.93529	5.04939	0.782721
44	0.0244038 4.90264	5.04071	0.77404
45	0.0249584 4.87624	5.00805	0.741382
